id,value,,,timestamp,tag
500,0.947149098,,,1.74828E+12,Evaluate/Acc
1000,0.962520301,,,1.74828E+12,Evaluate/Acc
1500,0.968586445,,,1.74828E+12,Evaluate/Acc
2000,0.971767247,,,1.74828E+12,Evaluate/Acc
2500,0.973295867,,,1.74829E+12,Evaluate/Acc
3000,0.975519896,,,1.74829E+12,Evaluate/Acc
3500,0.97610873,,,1.74829E+12,Evaluate/Acc
4000,0.976542413,,,1.74829E+12,Evaluate/Acc
