id,value,,tag,timestamp
500,0.885798275,,Evaluate/mIoU,1.74828E+12
1000,0.915700316,,Evaluate/mIoU,1.74828E+12
1500,0.928817153,,Evaluate/mIoU,1.74828E+12
2000,0.935310721,,Evaluate/mIoU,1.74828E+12
2500,0.9389292,,Evaluate/mIoU,1.74829E+12
3000,0.944064617,,Evaluate/mIoU,1.74829E+12
3500,0.945271313,,Evaluate/mIoU,1.74829E+12
4000,0.946226716,,Evaluate/mIoU,1.74829E+12
