id,tag,timestamp,value
1510,Train/lr,1748284274397,0.006018702872097492
1520,Train/lr,1748284287218,0.005991489160805941
1530,Train/lr,1748284300033,0.005964261945337057
1540,Train/lr,1748284312854,0.005937021225690842
1550,Train/lr,1748284325722,0.00590976607054472
1560,Train/lr,1748284338550,0.005882497411221266
1570,Train/lr,1748284351373,0.005855214316397905
1580,Train/lr,1748284364189,0.005827917251735926
1590,Train/lr,1748284377017,0.005800606217235327
1600,Train/lr,1748284389869,0.005773280747234821
1610,Train/lr,1748284402691,0.005745940841734409
1620,Train/lr,1748284415517,0.0057185860350728035
1630,Train/lr,1748284428341,0.005691217258572578
1640,Train/lr,1748284441239,0.0056638335809111595
1650,Train/lr,1748284454397,0.005636435467749834
1660,Train/lr,1748284467495,0.005609022453427315
1670,Train/lr,1748284480433,0.005581594537943602
1680,Train/lr,1748284493301,0.005554151255637407
1690,Train/lr,1748284506236,0.0055266935378313065
1700,Train/lr,1748284519738,0.005499219987541437
1710,Train/lr,1748284532661,0.005471731536090374
1720,Train/lr,1748284545523,0.00544422771781683
1730,Train/lr,1748284558415,0.005416708532720804
1740,Train/lr,1748284571304,0.00538917351514101
1750,Train/lr,1748284584199,0.005361623130738735
1760,Train/lr,1748284597092,0.005334056913852692
1770,Train/lr,1748284610046,0.00530647486448288
1780,Train/lr,1748284623213,0.005278876982629299
1790,Train/lr,1748284636217,0.005251262802630663
1800,Train/lr,1748284649154,0.005223632790148258
1810,Train/lr,1748284662069,0.005195986479520798
1820,Train/lr,1748284674965,0.0051683238707482815
1830,Train/lr,1748284687949,0.005140644498169422
1840,Train/lr,1748284701015,0.005112948827445507
1850,Train/lr,1748284714013,0.0050852359272539616
1860,Train/lr,1748284726869,0.00505750672891736
1870,Train/lr,1748284739742,0.005029760766774416
1880,Train/lr,1748284752662,0.005001997575163841
1890,Train/lr,1748284765494,0.004974217154085636
1900,Train/lr,1748284778659,0.004946419503539801
1910,Train/lr,1748284791487,0.004918604623526335
1920,Train/lr,1748284804346,0.0048907725140452385
1930,Train/lr,1748284817170,0.004862922243773937
1940,Train/lr,1748284829991,0.004835054278373718
1950,Train/lr,1748284842819,0.004807169083505869
1960,Train/lr,1748284855644,0.004779265262186527
1970,Train/lr,1748284868505,0.004751343745738268
1980,Train/lr,1748284881328,0.004723403602838516
1990,Train/lr,1748284894147,0.00469544529914856
2000,Train/lr,1748284906970,0.004667468369007111
2010,Train/lr,1748284942501,0.004639472812414169
2020,Train/lr,1748284955547,0.004611458629369736
2030,Train/lr,1748284968543,0.0045834253542125225
2040,Train/lr,1748284981384,0.00455537298694253
2050,Train/lr,1748284994303,0.004527301527559757
2060,Train/lr,1748285007195,0.004499210976064205
2070,Train/lr,1748285020009,0.004471100401133299
2080,Train/lr,1748285032994,0.004442970734089613
2090,Train/lr,1748285045858,0.0044148205779492855
2100,Train/lr,1748285059188,0.004386650864034891
2110,Train/lr,1748285071997,0.0043584611266851425
2120,Train/lr,1748285084890,0.004330250900238752
2130,Train/lr,1748285097796,0.004302020650357008
2140,Train/lr,1748285110643,0.004273769445717335
2150,Train/lr,1748285123647,0.004245497286319733
2160,Train/lr,1748285136464,0.004217204637825489
2170,Train/lr,1748285149444,0.004188890568912029
2180,Train/lr,1748285162427,0.004160555079579353
2190,Train/lr,1748285175187,0.0041321986354887486
2200,Train/lr,1748285187352,0.00410382030531764
2210,Train/lr,1748285200206,0.004075420089066029
2220,Train/lr,1748285213250,0.004046997986733913
2230,Train/lr,1748285226298,0.0040185535326600075
2240,Train/lr,1748285239203,0.003990086726844311
2250,Train/lr,1748285252003,0.003961597569286823
2260,Train/lr,1748285264857,0.00393308512866497
2270,Train/lr,1748285277891,0.003904550103470683
2280,Train/lr,1748285290775,0.0038759917952120304
2290,Train/lr,1748285303486,0.0038474102038890123
2300,Train/lr,1748285316656,0.0038188048638403416
2310,Train/lr,1748285329573,0.003790175775066018
2320,Train/lr,1748285342536,0.0037615224719047546
2330,Train/lr,1748285355371,0.003732845187187195
2340,Train/lr,1748285368384,0.0037041432224214077
2350,Train/lr,1748285381217,0.0036754163447767496
2360,Train/lr,1748285394235,0.003646664787083864
2370,Train/lr,1748285407116,0.0036178878508508205
2380,Train/lr,1748285420040,0.0035890855360776186
2390,Train/lr,1748285432959,0.0035602576099336147
2400,Train/lr,1748285445796,0.0035314036067575216
2410,Train/lr,1748285458854,0.0035025232937186956
2420,Train/lr,1748285471728,0.0034736166708171368
2430,Train/lr,1748285484719,0.0034446832723915577
2440,Train/lr,1748285497578,0.003415722632780671
2450,Train/lr,1748285510494,0.0033867349848151207
2460,Train/lr,1748285523490,0.0033577196300029755
2470,Train/lr,1748285536322,0.0033286763355135918
2480,Train/lr,1748285549355,0.003299604868516326
2490,Train/lr,1748285562187,0.0032705047633498907
2500,Train/lr,1748285575558,0.003241376020014286
2510,Train/lr,1748285611040,0.0032122181728482246
2520,Train/lr,1748285623878,0.003183030989021063
2530,Train/lr,1748285636938,0.0031538140028715134
2540,Train/lr,1748285649827,0.003124566748738289
2550,Train/lr,1748285662775,0.0030952892266213894
2560,Train/lr,1748285675692,0.003065980738028884
2570,Train/lr,1748285688529,0.003036641050130129
2580,Train/lr,1748285701603,0.0030072699300944805
2590,Train/lr,1748285714437,0.0029778669122606516
2600,Train/lr,1748285727451,0.0029484317637979984
2610,Train/lr,1748285740277,0.00291896378621459
2620,Train/lr,1748285753177,0.002889462513849139
2630,Train/lr,1748285766164,0.002859927946701646
2640,Train/lr,1748285778990,0.002830359386280179
2650,Train/lr,1748285792029,0.002800756599754095
2660,Train/lr,1748285804856,0.002771118888631463
